"","schoolcode","program","lowestscore"
"1",9010102,"Accounting",229
"2",9010301,"Accounting",210
"3",9021002,"Accounting",226
"4",9070501,"Accounting",209
"5",9070601,"Accounting",223
"6",9071001,"Accounting",223
"7",9090401,"Accounting",192
"8",9030401,"Agric. Mechanics",218
"9",9070601,"Agric. Mechanics",208
"10",10101,"Agriculture",288
"11",10103,"Agriculture",316
"12",10105,"Agriculture",260
"13",10110,"Agriculture",343
"14",10111,"Agriculture",371
"15",10117,"Agriculture",330
"16",10118,"Agriculture",273
"17",10121,"Agriculture",335
"18",10203,"Agriculture",252
"19",10204,"Agriculture",209
"20",10301,"Agriculture",278
"21",10302,"Agriculture",246
"22",10401,"Agriculture",287
"23",10402,"Agriculture",215
"24",10403,"Agriculture",207
"25",10501,"Agriculture",314
"26",10502,"Agriculture",279
"27",10503,"Agriculture",231
"28",10504,"Agriculture",247
"29",20104,"Agriculture",336
"30",20105,"Agriculture",286
"31",20106,"Agriculture",270
"32",20202,"Agriculture",211
"33",20203,"Agriculture",215
"34",20302,"Agriculture",292
"35",20303,"Agriculture",321
"36",20304,"Agriculture",266
"37",20305,"Agriculture",205
"38",20401,"Agriculture",290
"39",20402,"Agriculture",343
"40",20403,"Agriculture",295
"41",20407,"Agriculture",229
"42",20408,"Agriculture",210
"43",20409,"Agriculture",211
"44",20410,"Agriculture",228
"45",20501,"Agriculture",278
"46",20502,"Agriculture",247
"47",20503,"Agriculture",239
"48",20601,"Agriculture",288
"49",20602,"Agriculture",266
"50",20604,"Agriculture",208
"51",20606,"Agriculture",207
"52",20607,"Agriculture",202
"53",20608,"Agriculture",208
"54",20701,"Agriculture",216
"55",20703,"Agriculture",219
"56",20704,"Agriculture",228
"57",20801,"Agriculture",209
"58",20805,"Agriculture",211
"59",20901,"Agriculture",216
"60",20902,"Agriculture",205
"61",21003,"Agriculture",372
"62",21004,"Agriculture",245
"63",21006,"Agriculture",262
"64",21008,"Agriculture",221
"65",21101,"Agriculture",243
"66",21104,"Agriculture",216
"67",21201,"Agriculture",240
"68",21202,"Agriculture",213
"69",21203,"Agriculture",203
"70",21301,"Agriculture",209
"71",21303,"Agriculture",312
"72",21307,"Agriculture",216
"73",21402,"Agriculture",205
"74",21502,"Agriculture",240
"75",21503,"Agriculture",212
"76",21504,"Agriculture",210
"77",21505,"Agriculture",199
"78",21601,"Agriculture",216
"79",30101,"Agriculture",356
"80",30105,"Agriculture",290
"81",30108,"Agriculture",202
"82",30202,"Agriculture",213
"83",30203,"Agriculture",216
"84",30301,"Agriculture",332
"85",30303,"Agriculture",246
"86",30401,"Agriculture",335
"87",30402,"Agriculture",220
"88",30403,"Agriculture",219
"89",30503,"Agriculture",203
"90",30504,"Agriculture",267
"91",30601,"Agriculture",330
"92",30602,"Agriculture",233
"93",30603,"Agriculture",238
"94",30701,"Agriculture",260
"95",30703,"Agriculture",206
"96",30802,"Agriculture",228
"97",30902,"Agriculture",269
"98",30904,"Agriculture",207
"99",30905,"Agriculture",320
"100",31001,"Agriculture",291
"101",31002,"Agriculture",251
"102",31003,"Agriculture",259
"103",31101,"Agriculture",267
"104",31102,"Agriculture",207
"105",31201,"Agriculture",288
"106",31202,"Agriculture",245
"107",31204,"Agriculture",216
"108",31206,"Agriculture",212
"109",40101,"Agriculture",289
"110",40102,"Agriculture",309
"111",40106,"Agriculture",279
"112",40109,"Agriculture",223
"113",40111,"Agriculture",241
"114",40201,"Agriculture",288
"115",40202,"Agriculture",220
"116",40301,"Agriculture",241
"117",40302,"Agriculture",246
"118",40303,"Agriculture",203
"119",40304,"Agriculture",207
"120",40401,"Agriculture",223
"121",40402,"Agriculture",210
"122",40501,"Agriculture",262
"123",40502,"Agriculture",234
"124",40503,"Agriculture",211
"125",40601,"Agriculture",263
"126",40602,"Agriculture",211
"127",40603,"Agriculture",212
"128",40701,"Agriculture",266
"129",40702,"Agriculture",235
"130",40801,"Agriculture",214
"131",40802,"Agriculture",215
"132",40902,"Agriculture",249
"133",40903,"Agriculture",271
"134",40905,"Agriculture",206
"135",40906,"Agriculture",207
"136",41001,"Agriculture",208
"137",41002,"Agriculture",214
"138",41101,"Agriculture",224
"139",50104,"Agriculture",345
"140",50105,"Agriculture",348
"141",50107,"Agriculture",361
"142",50111,"Agriculture",319
"143",50113,"Agriculture",327
"144",50119,"Agriculture",241
"145",50201,"Agriculture",346
"146",50202,"Agriculture",314
"147",50203,"Agriculture",324
"148",50204,"Agriculture",272
"149",50205,"Agriculture",263
"150",50207,"Agriculture",223
"151",50301,"Agriculture",320
"152",50303,"Agriculture",243
"153",50403,"Agriculture",206
"154",50501,"Agriculture",261
"155",50502,"Agriculture",324
"156",50503,"Agriculture",273
"157",50601,"Agriculture",281
"158",50604,"Agriculture",222
"159",50606,"Agriculture",259
"160",50702,"Agriculture",263
"161",50704,"Agriculture",287
"162",50705,"Agriculture",218
"163",50801,"Agriculture",266
"164",50803,"Agriculture",238
"165",50804,"Agriculture",214
"166",50901,"Agriculture",211
"167",50902,"Agriculture",217
"168",51002,"Agriculture",331
"169",51004,"Agriculture",219
"170",51101,"Agriculture",208
"171",51103,"Agriculture",213
"172",51202,"Agriculture",293
"173",51203,"Agriculture",263
"174",51205,"Agriculture",230
"175",51206,"Agriculture",211
"176",51302,"Agriculture",233
"177",51401,"Agriculture",271
"178",51402,"Agriculture",216
"179",51501,"Agriculture",231
"180",51602,"Agriculture",308
"181",51603,"Agriculture",287
"182",51604,"Agriculture",263
"183",51605,"Agriculture",214
"184",51606,"Agriculture",222
"185",51701,"Agriculture",289
"186",51702,"Agriculture",213
"187",51802,"Agriculture",291
"188",51804,"Agriculture",236
"189",60102,"Agriculture",219
"190",60103,"Agriculture",243
"191",60104,"Agriculture",338
"192",60105,"Agriculture",202
"193",60106,"Agriculture",362
"194",60201,"Agriculture",302
"195",60203,"Agriculture",219
"196",60204,"Agriculture",208
"197",60205,"Agriculture",222
"198",60206,"Agriculture",249
"199",60301,"Agriculture",297
"200",60302,"Agriculture",252
"201",60303,"Agriculture",271
"202",60304,"Agriculture",221
"203",60402,"Agriculture",205
"204",60404,"Agriculture",230
"205",60501,"Agriculture",272
"206",60504,"Agriculture",215
"207",60601,"Agriculture",292
"208",60602,"Agriculture",212
"209",60603,"Agriculture",221
"210",60604,"Agriculture",226
"211",60605,"Agriculture",222
"212",60702,"Agriculture",256
"213",60704,"Agriculture",209
"214",60705,"Agriculture",214
"215",60801,"Agriculture",226
"216",60802,"Agriculture",215
"217",60902,"Agriculture",218
"218",61001,"Agriculture",286
"219",61002,"Agriculture",227
"220",61003,"Agriculture",249
"221",61004,"Agriculture",218
"222",61101,"Agriculture",219
"223",61102,"Agriculture",236
"224",61202,"Agriculture",243
"225",61203,"Agriculture",234
"226",61204,"Agriculture",220
"227",61303,"Agriculture",205
"228",70102,"Agriculture",301
"229",70104,"Agriculture",277
"230",70105,"Agriculture",209
"231",70106,"Agriculture",213
"232",70108,"Agriculture",237
"233",70109,"Agriculture",219
"234",70110,"Agriculture",214
"235",70111,"Agriculture",223
"236",70112,"Agriculture",228
"237",70113,"Agriculture",221
"238",70114,"Agriculture",269
"239",70119,"Agriculture",214
"240",70201,"Agriculture",212
"241",70202,"Agriculture",220
"242",70203,"Agriculture",204
"243",70302,"Agriculture",224
"244",70303,"Agriculture",214
"245",70401,"Agriculture",206
"246",70402,"Agriculture",224
"247",70403,"Agriculture",221
"248",70501,"Agriculture",243
"249",70502,"Agriculture",261
"250",70505,"Agriculture",228
"251",70506,"Agriculture",200
"252",70601,"Agriculture",221
"253",70602,"Agriculture",292
"254",70603,"Agriculture",226
"255",70604,"Agriculture",210
"256",70605,"Agriculture",214
"257",70606,"Agriculture",221
"258",70607,"Agriculture",215
"259",70703,"Agriculture",214
"260",70704,"Agriculture",234
"261",70705,"Agriculture",200
"262",70802,"Agriculture",209
"263",70803,"Agriculture",218
"264",70805,"Agriculture",227
"265",70902,"Agriculture",211
"266",71001,"Agriculture",214
"267",71002,"Agriculture",227
"268",71004,"Agriculture",211
"269",71008,"Agriculture",217
"270",71009,"Agriculture",228
"271",71010,"Agriculture",213
"272",71104,"Agriculture",216
"273",71105,"Agriculture",224
"274",71201,"Agriculture",241
"275",71202,"Agriculture",220
"276",80101,"Agriculture",290
"277",80102,"Agriculture",276
"278",80105,"Agriculture",256
"279",80106,"Agriculture",231
"280",80107,"Agriculture",208
"281",80108,"Agriculture",241
"282",80201,"Agriculture",226
"283",80202,"Agriculture",206
"284",80301,"Agriculture",239
"285",80302,"Agriculture",231
"286",80401,"Agriculture",218
"287",80402,"Agriculture",209
"288",80501,"Agriculture",237
"289",80502,"Agriculture",210
"290",80602,"Agriculture",200
"291",80701,"Agriculture",230
"292",80702,"Agriculture",188
"293",80802,"Agriculture",209
"294",80901,"Agriculture",211
"295",80902,"Agriculture",197
"296",81001,"Agriculture",208
"297",81101,"Agriculture",204
"298",81102,"Agriculture",208
"299",81202,"Agriculture",209
"300",81302,"Agriculture",199
"301",90101,"Agriculture",263
"302",90102,"Agriculture",207
"303",90103,"Agriculture",217
"304",90202,"Agriculture",222
"305",90302,"Agriculture",200
"306",90303,"Agriculture",220
"307",90403,"Agriculture",284
"308",90404,"Agriculture",201
"309",90405,"Agriculture",239
"310",90501,"Agriculture",271
"311",90502,"Agriculture",201
"312",90503,"Agriculture",205
"313",90504,"Agriculture",199
"314",90506,"Agriculture",204
"315",90602,"Agriculture",281
"316",100102,"Agriculture",273
"317",100106,"Agriculture",223
"318",100203,"Agriculture",225
"319",100301,"Agriculture",201
"320",100303,"Agriculture",207
"321",100402,"Agriculture",225
"322",100501,"Agriculture",235
"323",100502,"Agriculture",191
"324",9010101,"Auto Body Works",298
"325",9050101,"Auto Body Works",298
"326",9010201,"Block Laying & Concreting",248
"327",9010301,"Block Laying & Concreting",206
"328",9020101,"Block Laying & Concreting",215
"329",9020901,"Block Laying & Concreting",262
"330",9021001,"Block Laying & Concreting",201
"331",9021101,"Block Laying & Concreting",211
"332",9021301,"Block Laying & Concreting",219
"333",9030101,"Block Laying & Concreting",213
"334",9030401,"Block Laying & Concreting",208
"335",9040101,"Block Laying & Concreting",224
"336",9040301,"Block Laying & Concreting",214
"337",9050101,"Block Laying & Concreting",244
"338",9051801,"Block Laying & Concreting",240
"339",9070501,"Block Laying & Concreting",222
"340",9070601,"Block Laying & Concreting",197
"341",9070901,"Block Laying & Concreting",247
"342",9071001,"Block Laying & Concreting",240
"343",9080103,"Block Laying & Concreting",230
"344",9090101,"Block Laying & Concreting",205
"345",9090401,"Block Laying & Concreting",213
"346",9100101,"Block Laying & Concreting",185
"347",10101,"Business",305
"348",10103,"Business",341
"349",10105,"Business",331
"350",10106,"Business",328
"351",10107,"Business",292
"352",10108,"Business",291
"353",10111,"Business",382
"354",10112,"Business",359
"355",10114,"Business",329
"356",10116,"Business",205
"357",10117,"Business",349
"358",10118,"Business",291
"359",10119,"Business",259
"360",10121,"Business",363
"361",10142,"Business",260
"362",10201,"Business",356
"363",10205,"Business",278
"364",10210,"Business",230
"365",10213,"Business",300
"366",10302,"Business",285
"367",10401,"Business",335
"368",10402,"Business",200
"369",10403,"Business",246
"370",10501,"Business",339
"371",10502,"Business",303
"372",10503,"Business",265
"373",20102,"Business",376
"374",20103,"Business",345
"375",20104,"Business",359
"376",20105,"Business",291
"377",20106,"Business",284
"378",20201,"Business",283
"379",20202,"Business",228
"380",20204,"Business",214
"381",20301,"Business",396
"382",20302,"Business",297
"383",20303,"Business",333
"384",20401,"Business",302
"385",20402,"Business",372
"386",20403,"Business",299
"387",20406,"Business",246
"388",20410,"Business",207
"389",20501,"Business",306
"390",20601,"Business",297
"391",20602,"Business",267
"392",20603,"Business",252
"393",20606,"Business",206
"394",20607,"Business",194
"395",20608,"Business",206
"396",20703,"Business",220
"397",20704,"Business",216
"398",20801,"Business",197
"399",20803,"Business",283
"400",20804,"Business",202
"401",20805,"Business",215
"402",20901,"Business",214
"403",21001,"Business",270
"404",21002,"Business",306
"405",21003,"Business",377
"406",21004,"Business",266
"407",21005,"Business",237
"408",21006,"Business",249
"409",21007,"Business",217
"410",21009,"Business",226
"411",21010,"Business",215
"412",21101,"Business",252
"413",21102,"Business",298
"414",21104,"Business",208
"415",21201,"Business",213
"416",21202,"Business",215
"417",21301,"Business",228
"418",21302,"Business",341
"419",21303,"Business",316
"420",21305,"Business",206
"421",21306,"Business",226
"422",21401,"Business",255
"423",21402,"Business",207
"424",21501,"Business",350
"425",21502,"Business",271
"426",21503,"Business",199
"427",21504,"Business",207
"428",21601,"Business",213
"429",30101,"Business",378
"430",30102,"Business",369
"431",30103,"Business",412
"432",30105,"Business",317
"433",30106,"Business",368
"434",30107,"Business",424
"435",30108,"Business",210
"436",30109,"Business",262
"437",30110,"Business",202
"438",30201,"Business",269
"439",30202,"Business",215
"440",30203,"Business",223
"441",30301,"Business",378
"442",30302,"Business",210
"443",30303,"Business",253
"444",30304,"Business",280
"445",30305,"Business",206
"446",30401,"Business",353
"447",30402,"Business",207
"448",30403,"Business",227
"449",30501,"Business",335
"450",30502,"Business",278
"451",30503,"Business",240
"452",30504,"Business",242
"453",30601,"Business",351
"454",30602,"Business",276
"455",30603,"Business",248
"456",30701,"Business",241
"457",30702,"Business",236
"458",30703,"Business",209
"459",30801,"Business",309
"460",30802,"Business",199
"461",30902,"Business",306
"462",30903,"Business",286
"463",30904,"Business",217
"464",30905,"Business",335
"465",31001,"Business",294
"466",31002,"Business",248
"467",31003,"Business",242
"468",31101,"Business",234
"469",31102,"Business",208
"470",31201,"Business",283
"471",31202,"Business",267
"472",31203,"Business",208
"473",31204,"Business",219
"474",31205,"Business",214
"475",31206,"Business",214
"476",40101,"Business",273
"477",40102,"Business",323
"478",40103,"Business",377
"479",40105,"Business",342
"480",40106,"Business",295
"481",40107,"Business",321
"482",40110,"Business",227
"483",40111,"Business",257
"484",40112,"Business",225
"485",40201,"Business",287
"486",40202,"Business",241
"487",40301,"Business",237
"488",40302,"Business",212
"489",40304,"Business",204
"490",40401,"Business",222
"491",40402,"Business",212
"492",40501,"Business",245
"493",40502,"Business",197
"494",40601,"Business",254
"495",40603,"Business",208
"496",40604,"Business",226
"497",40701,"Business",258
"498",40702,"Business",239
"499",40801,"Business",202
"500",40802,"Business",206
"501",40901,"Business",223
"502",40902,"Business",256
"503",40903,"Business",274
"504",40904,"Business",309
"505",40905,"Business",199
"506",40906,"Business",211
"507",41002,"Business",217
"508",41102,"Business",200
"509",50101,"Business",340
"510",50102,"Business",389
"511",50104,"Business",340
"512",50105,"Business",362
"513",50106,"Business",328
"514",50107,"Business",369
"515",50108,"Business",374
"516",50109,"Business",306
"517",50110,"Business",387
"518",50111,"Business",335
"519",50112,"Business",302
"520",50113,"Business",348
"521",50114,"Business",310
"522",50115,"Business",302
"523",50119,"Business",278
"524",50139,"Business",207
"525",50201,"Business",352
"526",50202,"Business",314
"527",50203,"Business",317
"528",50204,"Business",293
"529",50205,"Business",242
"530",50206,"Business",212
"531",50207,"Business",217
"532",50301,"Business",333
"533",50302,"Business",264
"534",50304,"Business",212
"535",50307,"Business",276
"536",50401,"Business",241
"537",50402,"Business",214
"538",50403,"Business",219
"539",50501,"Business",211
"540",50502,"Business",348
"541",50504,"Business",253
"542",50601,"Business",273
"543",50602,"Business",290
"544",50603,"Business",248
"545",50604,"Business",222
"546",50605,"Business",289
"547",50701,"Business",250
"548",50702,"Business",242
"549",50703,"Business",212
"550",50704,"Business",276
"551",50705,"Business",235
"552",50707,"Business",219
"553",50801,"Business",286
"554",50802,"Business",250
"555",50804,"Business",211
"556",50902,"Business",224
"557",51001,"Business",267
"558",51002,"Business",335
"559",51003,"Business",220
"560",51102,"Business",229
"561",51201,"Business",240
"562",51202,"Business",302
"563",51203,"Business",236
"564",51204,"Business",219
"565",51206,"Business",221
"566",51301,"Business",226
"567",51302,"Business",241
"568",51401,"Business",250
"569",51601,"Business",285
"570",51602,"Business",280
"571",51603,"Business",228
"572",51701,"Business",334
"573",51702,"Business",222
"574",51801,"Business",287
"575",51802,"Business",287
"576",51803,"Business",216
"577",51804,"Business",217
"578",60101,"Business",282
"579",60102,"Business",215
"580",60104,"Business",332
"581",60105,"Business",244
"582",60106,"Business",363
"583",60107,"Business",303
"584",60201,"Business",295
"585",60202,"Business",216
"586",60203,"Business",251
"587",60204,"Business",218
"588",60205,"Business",222
"589",60206,"Business",225
"590",60301,"Business",307
"591",60304,"Business",215
"592",60402,"Business",207
"593",60403,"Business",207
"594",60404,"Business",213
"595",60501,"Business",275
"596",60502,"Business",221
"597",60503,"Business",217
"598",60505,"Business",212
"599",60601,"Business",257
"600",60602,"Business",219
"601",60604,"Business",220
"602",60701,"Business",286
"603",60702,"Business",222
"604",60704,"Business",206
"605",60801,"Business",234
"606",60802,"Business",202
"607",60901,"Business",212
"608",60902,"Business",219
"609",61001,"Business",261
"610",61003,"Business",231
"611",61004,"Business",222
"612",61005,"Business",228
"613",61101,"Business",220
"614",61201,"Business",341
"615",61202,"Business",251
"616",61203,"Business",212
"617",61301,"Business",207
"618",61303,"Business",221
"619",70101,"Business",346
"620",70102,"Business",352
"621",70103,"Business",238
"622",70104,"Business",272
"623",70105,"Business",207
"624",70106,"Business",288
"625",70108,"Business",210
"626",70109,"Business",209
"627",70110,"Business",230
"628",70112,"Business",214
"629",70113,"Business",209
"630",70114,"Business",243
"631",70119,"Business",226
"632",70201,"Business",207
"633",70202,"Business",213
"634",70203,"Business",204
"635",70204,"Business",207
"636",70301,"Business",204
"637",70302,"Business",228
"638",70401,"Business",231
"639",70402,"Business",211
"640",70403,"Business",215
"641",70501,"Business",256
"642",70502,"Business",322
"643",70503,"Business",205
"644",70504,"Business",278
"645",70505,"Business",198
"646",70506,"Business",213
"647",70507,"Business",217
"648",70508,"Business",221
"649",70509,"Business",215
"650",70601,"Business",320
"651",70602,"Business",337
"652",70603,"Business",252
"653",70604,"Business",240
"654",70605,"Business",222
"655",70608,"Business",221
"656",70701,"Business",238
"657",70702,"Business",213
"658",70703,"Business",249
"659",70704,"Business",228
"660",70705,"Business",211
"661",70804,"Business",217
"662",70805,"Business",209
"663",70806,"Business",262
"664",70901,"Business",290
"665",70902,"Business",213
"666",71001,"Business",196
"667",71003,"Business",223
"668",71005,"Business",274
"669",71006,"Business",257
"670",71007,"Business",240
"671",71009,"Business",225
"672",71010,"Business",232
"673",71101,"Business",230
"674",71102,"Business",214
"675",71103,"Business",208
"676",71104,"Business",215
"677",71201,"Business",240
"678",71202,"Business",225
"679",80101,"Business",308
"680",80102,"Business",286
"681",80103,"Business",263
"682",80104,"Business",269
"683",80105,"Business",247
"684",80109,"Business",200
"685",80110,"Business",209
"686",80201,"Business",198
"687",80301,"Business",224
"688",80302,"Business",204
"689",80303,"Business",203
"690",80401,"Business",197
"691",80402,"Business",212
"692",80501,"Business",198
"693",80503,"Business",205
"694",80701,"Business",203
"695",80801,"Business",231
"696",81001,"Business",208
"697",81201,"Business",204
"698",81301,"Business",209
"699",81302,"Business",201
"700",90101,"Business",247
"701",90103,"Business",209
"702",90202,"Business",199
"703",90303,"Business",246
"704",90401,"Business",258
"705",90403,"Business",287
"706",90501,"Business",282
"707",90503,"Business",208
"708",90506,"Business",201
"709",100102,"Business",283
"710",100105,"Business",251
"711",100106,"Business",238
"712",100201,"Business",288
"713",100202,"Business",230
"714",100204,"Business",204
"715",100302,"Business",264
"716",100304,"Business",225
"717",100401,"Business",259
"718",100503,"Business",262
"719",9010102,"Carpentry & Joinery",216
"720",9010201,"Carpentry & Joinery",218
"721",9010301,"Carpentry & Joinery",227
"722",9020101,"Carpentry & Joinery",239
"723",9021001,"Carpentry & Joinery",221
"724",9021301,"Carpentry & Joinery",236
"725",9030101,"Carpentry & Joinery",219
"726",9030401,"Carpentry & Joinery",235
"727",9040301,"Carpentry & Joinery",232
"728",9050101,"Carpentry & Joinery",227
"729",9051801,"Carpentry & Joinery",213
"730",9070501,"Carpentry & Joinery",236
"731",9070601,"Carpentry & Joinery",210
"732",9070901,"Carpentry & Joinery",221
"733",9090101,"Carpentry & Joinery",211
"734",9090401,"Carpentry & Joinery",201
"735",9100101,"Carpentry & Joinery",232
"736",9021001,"Catering",212
"737",9030101,"Catering",243
"738",9070901,"Catering",232
"739",9090401,"Catering",212
"740",9010201,"Electrical Installation Works",275
"741",9010301,"Electrical Installation Works",229
"742",9020101,"Electrical Installation Works",223
"743",9021001,"Electrical Installation Works",269
"744",9021101,"Electrical Installation Works",221
"745",9021301,"Electrical Installation Works",290
"746",9030401,"Electrical Installation Works",241
"747",9040101,"Electrical Installation Works",212
"748",9040301,"Electrical Installation Works",215
"749",9050101,"Electrical Installation Works",313
"750",9051801,"Electrical Installation Works",228
"751",9070501,"Electrical Installation Works",220
"752",9070601,"Electrical Installation Works",216
"753",9070901,"Electrical Installation Works",215
"754",9071001,"Electrical Installation Works",282
"755",9080901,"Electrical Installation Works",225
"756",9090101,"Electrical Installation Works",204
"757",9090401,"Electrical Installation Works",228
"758",9100101,"Electrical Installation Works",188
"759",9030101,"Electrical Mach. Rew.",214
"760",9050101,"Electrical Mach. Rew.",260
"761",9010102,"Fashion Design",217
"762",9010301,"Fashion Design",205
"763",9021002,"Fashion Design",243
"764",9030101,"Fashion Design",210
"765",9050101,"Fashion Design",237
"766",9070501,"Fashion Design",210
"767",9070901,"Fashion Design",243
"768",9071001,"Fashion Design",221
"769",9090101,"Fashion Design",198
"770",9090401,"Fashion Design",205
"771",9100101,"Fashion Design",232
"772",9030101,"Furniture Craft",216
"773",9030401,"Furniture Craft",197
"774",9070601,"Furniture Craft",226
"775",10101,"General Arts",316
"776",10102,"General Arts",388
"777",10103,"General Arts",349
"778",10104,"General Arts",302
"779",10105,"General Arts",328
"780",10106,"General Arts",336
"781",10107,"General Arts",299
"782",10108,"General Arts",291
"783",10110,"General Arts",389
"784",10111,"General Arts",382
"785",10112,"General Arts",374
"786",10114,"General Arts",337
"787",10115,"General Arts",321
"788",10116,"General Arts",307
"789",10117,"General Arts",363
"790",10118,"General Arts",298
"791",10119,"General Arts",273
"792",10120,"General Arts",243
"793",10121,"General Arts",369
"794",10128,"General Arts",278
"795",10142,"General Arts",280
"796",10201,"General Arts",358
"797",10202,"General Arts",316
"798",10203,"General Arts",256
"799",10204,"General Arts",217
"800",10205,"General Arts",289
"801",10210,"General Arts",276
"802",10213,"General Arts",279
"803",10301,"General Arts",288
"804",10302,"General Arts",260
"805",10401,"General Arts",317
"806",10402,"General Arts",209
"807",10403,"General Arts",238
"808",10501,"General Arts",338
"809",10502,"General Arts",306
"810",10504,"General Arts",277
"811",20101,"General Arts",343
"812",20102,"General Arts",378
"813",20103,"General Arts",341
"814",20104,"General Arts",369
"815",20105,"General Arts",298
"816",20106,"General Arts",284
